,pull request number,pull request merged,commit date,success,not run,breaks build,breaks test-suite,breaks doc,broken plugins nb,broken libraries nb
9236267,10490,True,2019-07-06T00:32:31Z,False,True,False,False,False,0,0
8c621e4,10490,True,2019-07-05T19:46:34Z,False,False,True,False,False,0,0
fafeb81,10490,True,2019-07-06T00:30:50Z,False,True,False,False,False,0,0
2de0220,10490,True,2019-07-06T00:31:25Z,False,True,False,False,False,0,0
1d5eba7,10489,False,2019-08-03T21:05:40Z,True,,,,,,
b04a18e,10483,False,2019-07-05T08:14:48Z,False,True,False,False,False,0,0
e1d24ac,10489,False,2019-07-05T16:56:19Z,False,True,False,False,False,0,0
b6cbdbb,10489,False,2019-07-05T17:04:30Z,False,True,False,False,False,0,0
98ad85b,10489,False,2019-07-05T17:12:55Z,False,False,False,False,False,0,1
dfe776f,10489,False,2019-07-06T20:57:29Z,False,False,False,False,False,0,0
efa080e,10489,False,2019-07-06T21:27:17Z,True,,,,,,
5b30ff6,10489,False,2019-07-07T21:40:28Z,False,False,True,False,False,0,0
616df04,10489,False,2019-07-19T00:09:58Z,False,False,False,True,False,0,1
569641b,10489,False,2019-07-19T16:56:33Z,False,False,False,True,False,0,1
912527f,10489,False,2019-07-20T20:11:23Z,False,False,False,True,False,0,0
64adc12,10489,False,2019-07-28T19:44:05Z,False,True,False,False,False,0,0
1af4f8b,10489,False,2019-07-28T20:05:33Z,True,,,,,,
c69876c,10488,False,2019-08-20T22:45:03Z,False,True,False,False,False,0,0
256ee75,10488,False,2019-07-05T13:01:26Z,False,False,False,False,False,0,1
e6e5402,10488,False,2019-07-08T11:23:53Z,False,False,False,False,False,0,0
bace0cc,10488,False,2019-07-23T09:18:11Z,False,False,False,False,False,0,2
574e982,10488,False,2019-08-14T12:16:06Z,False,False,False,False,False,1,0
36e5599,10488,False,2019-08-20T17:29:22Z,False,False,False,False,False,0,0
d7e79ea,10488,False,2019-08-20T20:31:21Z,False,False,False,False,False,0,0
cf26704,10488,False,2019-08-20T22:43:27Z,False,True,False,False,False,0,0
1448d62,10488,False,2019-08-20T22:44:37Z,False,True,False,False,False,0,0
4987097,10488,False,2019-08-21T10:42:09Z,False,False,False,False,False,0,0
